Job_ID	Operation (O)	Compatible machine (C)	Processing_time	Memo
1	1	2	5	__0_______________
1	2	1	106.5	__1_35. ____RNA_____
1	3	2	5	___________
1	4	3	75	RNA-seq_________36_72
1	5	2	5	____PCR__
1	6	4	75	PCR___73
1	7	2	5	PCR______
1	8	3	3	______74_76
1	9	2	5	____PCR__
1	10	4	30	PCR___77
1	11	2	5	PCR______
1	12	3	87	______78_98
1	13	2	5	____PCR__
1	14	4	30	PCR___99
1	15	2	5	PCR______
1	16	3	57.5	______100_122
1	17	2	5	____PCR__
1	18	4	35	PCR___123
1	19	2	5	PCR______
1	20	3	4	______124_127
1	21	2	5	____PCR__
1	22	4	10	PCR___128
1	23	2	5	PCR______
1	24	3	33.5	______129_166
1	25	2	5	____PCR__
1	26	4	45	PCR___167
1	27	2	5	PCR______
1	28	3	45	______168_185
2	1	2	5	__0_______________
2	2	1	106.5	__1_35. ____RNA_____
2	3	2	5	___________
2	4	3	75	RNA-seq_________36_72
2	5	2	5	____PCR__
2	6	4	75	PCR___73
2	7	2	5	PCR______
2	8	3	3	______74_76
2	9	2	5	____PCR__
2	10	4	30	PCR___77
2	11	2	5	PCR______
2	12	3	87	______78_98
2	13	2	5	____PCR__
2	14	4	30	PCR___99
2	15	2	5	PCR______
2	16	3	57.5	______100_122
2	17	2	5	____PCR__
2	18	4	35	PCR___123
2	19	2	5	PCR______
2	20	3	4	______124_127
2	21	2	5	____PCR__
2	22	4	10	PCR___128
2	23	2	5	PCR______
2	24	3	33.5	______129_166
2	25	2	5	____PCR__
2	26	4	45	PCR___167
2	27	2	5	PCR______
2	28	3	45	______168_185
3	1	2	5	__0_______________
3	2	1	106.5	__1_35. ____RNA_____
3	3	2	5	___________
3	4	3	75	RNA-seq_________36_72
3	5	2	5	____PCR__
3	6	4	75	PCR___73
3	7	2	5	PCR______
3	8	3	3	______74_76
3	9	2	5	____PCR__
3	10	4	30	PCR___77
3	11	2	5	PCR______
3	12	3	87	______78_98
3	13	2	5	____PCR__
3	14	4	30	PCR___99
3	15	2	5	PCR______
3	16	3	57.5	______100_122
3	17	2	5	____PCR__
3	18	4	35	PCR___123
3	19	2	5	PCR______
3	20	3	4	______124_127
3	21	2	5	____PCR__
3	22	4	10	PCR___128
3	23	2	5	PCR______
3	24	3	33.5	______129_166
3	25	2	5	____PCR__
3	26	4	45	PCR___167
3	27	2	5	PCR______
3	28	3	45	______168_185
4	1	2	5	__0_______________
4	2	1	106.5	__1_35. ____RNA_____
4	3	2	5	___________
4	4	3	75	RNA-seq_________36_72
4	5	2	5	____PCR__
4	6	4	75	PCR___73
4	7	2	5	PCR______
4	8	3	3	______74_76
4	9	2	5	____PCR__
4	10	4	30	PCR___77
4	11	2	5	PCR______
4	12	3	87	______78_98
4	13	2	5	____PCR__
4	14	4	30	PCR___99
4	15	2	5	PCR______
4	16	3	57.5	______100_122
4	17	2	5	____PCR__
4	18	4	35	PCR___123
4	19	2	5	PCR______
4	20	3	4	______124_127
4	21	2	5	____PCR__
4	22	4	10	PCR___128
4	23	2	5	PCR______
4	24	3	33.5	______129_166
4	25	2	5	____PCR__
4	26	4	45	PCR___167
4	27	2	5	PCR______
4	28	3	45	______168_185
5	1	2	5	__0_______________
5	2	1	106.5	__1_35. ____RNA_____
5	3	2	5	___________
5	4	3	75	RNA-seq_________36_72
5	5	2	5	____PCR__
5	6	4	75	PCR___73
5	7	2	5	PCR______
5	8	3	3	______74_76
5	9	2	5	____PCR__
5	10	4	30	PCR___77
5	11	2	5	PCR______
5	12	3	87	______78_98
5	13	2	5	____PCR__
5	14	4	30	PCR___99
5	15	2	5	PCR______
5	16	3	57.5	______100_122
5	17	2	5	____PCR__
5	18	4	35	PCR___123
5	19	2	5	PCR______
5	20	3	4	______124_127
5	21	2	5	____PCR__
5	22	4	10	PCR___128
5	23	2	5	PCR______
5	24	3	33.5	______129_166
5	25	2	5	____PCR__
5	26	4	45	PCR___167
5	27	2	5	PCR______
5	28	3	45	______168_185
6	1	2	5	__0_______________
6	2	1	106.5	__1_35. ____RNA_____
6	3	2	5	___________
6	4	3	75	RNA-seq_________36_72
6	5	2	5	____PCR__
6	6	4	75	PCR___73
6	7	2	5	PCR______
6	8	3	3	______74_76
6	9	2	5	____PCR__
6	10	4	30	PCR___77
6	11	2	5	PCR______
6	12	3	87	______78_98
6	13	2	5	____PCR__
6	14	4	30	PCR___99
6	15	2	5	PCR______
6	16	3	57.5	______100_122
6	17	2	5	____PCR__
6	18	4	35	PCR___123
6	19	2	5	PCR______
6	20	3	4	______124_127
6	21	2	5	____PCR__
6	22	4	10	PCR___128
6	23	2	5	PCR______
6	24	3	33.5	______129_166
6	25	2	5	____PCR__
6	26	4	45	PCR___167
6	27	2	5	PCR______
6	28	3	45	______168_185
7	1	2	5	__0_______________
7	2	1	106.5	__1_35. ____RNA_____
7	3	2	5	___________
7	4	3	75	RNA-seq_________36_72
7	5	2	5	____PCR__
7	6	4	75	PCR___73
7	7	2	5	PCR______
7	8	3	3	______74_76
7	9	2	5	____PCR__
7	10	4	30	PCR___77
7	11	2	5	PCR______
7	12	3	87	______78_98
7	13	2	5	____PCR__
7	14	4	30	PCR___99
7	15	2	5	PCR______
7	16	3	57.5	______100_122
7	17	2	5	____PCR__
7	18	4	35	PCR___123
7	19	2	5	PCR______
7	20	3	4	______124_127
7	21	2	5	____PCR__
7	22	4	10	PCR___128
7	23	2	5	PCR______
7	24	3	33.5	______129_166
7	25	2	5	____PCR__
7	26	4	45	PCR___167
7	27	2	5	PCR______
7	28	3	45	______168_185
8	1	2	5	__0_______________
8	2	1	106.5	__1_35. ____RNA_____
8	3	2	5	___________
8	4	3	75	RNA-seq_________36_72
8	5	2	5	____PCR__
8	6	4	75	PCR___73
8	7	2	5	PCR______
8	8	3	3	______74_76
8	9	2	5	____PCR__
8	10	4	30	PCR___77
8	11	2	5	PCR______
8	12	3	87	______78_98
8	13	2	5	____PCR__
8	14	4	30	PCR___99
8	15	2	5	PCR______
8	16	3	57.5	______100_122
8	17	2	5	____PCR__
8	18	4	35	PCR___123
8	19	2	5	PCR______
8	20	3	4	______124_127
8	21	2	5	____PCR__
8	22	4	10	PCR___128
8	23	2	5	PCR______
8	24	3	33.5	______129_166
8	25	2	5	____PCR__
8	26	4	45	PCR___167
8	27	2	5	PCR______
8	28	3	45	______168_185
9	1	2	5	__0_______________
9	2	1	106.5	__1_35. ____RNA_____
9	3	2	5	___________
9	4	3	75	RNA-seq_________36_72
9	5	2	5	____PCR__
9	6	4	75	PCR___73
9	7	2	5	PCR______
9	8	3	3	______74_76
9	9	2	5	____PCR__
9	10	4	30	PCR___77
9	11	2	5	PCR______
9	12	3	87	______78_98
9	13	2	5	____PCR__
9	14	4	30	PCR___99
9	15	2	5	PCR______
9	16	3	57.5	______100_122
9	17	2	5	____PCR__
9	18	4	35	PCR___123
9	19	2	5	PCR______
9	20	3	4	______124_127
9	21	2	5	____PCR__
9	22	4	10	PCR___128
9	23	2	5	PCR______
9	24	3	33.5	______129_166
9	25	2	5	____PCR__
9	26	4	45	PCR___167
9	27	2	5	PCR______
9	28	3	45	______168_185
10	1	2	5	__0_______________
10	2	1	106.5	__1_35. ____RNA_____
10	3	2	5	___________
10	4	3	75	RNA-seq_________36_72
10	5	2	5	____PCR__
10	6	4	75	PCR___73
10	7	2	5	PCR______
10	8	3	3	______74_76
10	9	2	5	____PCR__
10	10	4	30	PCR___77
10	11	2	5	PCR______
10	12	3	87	______78_98
10	13	2	5	____PCR__
10	14	4	30	PCR___99
10	15	2	5	PCR______
10	16	3	57.5	______100_122
10	17	2	5	____PCR__
10	18	4	35	PCR___123
10	19	2	5	PCR______
10	20	3	4	______124_127
10	21	2	5	____PCR__
10	22	4	10	PCR___128
10	23	2	5	PCR______
10	24	3	33.5	______129_166
10	25	2	5	____PCR__
10	26	4	45	PCR___167
10	27	2	5	PCR______
10	28	3	45	______168_185
