Job_ID	Operation_ID	Compatible_machine	Processing_time	Note
1	1	5	1	Transport reagents to Tecan (type 1)
1	2	5	1	Transport samples to Tecan (type 2)
1	3	1	5	Prepare master mix
1	4	2	15	Process samples
1	5	5	1	Tranport sample plate to Plate centrifuge
1	6	4	1	Centrifuge sample plate
1	7	5	1	Tranport sample plate to Tecan (type 3)
1	8	5	1	Tranport master mix to Plate centrifuge
1	9	4	1	Centrifuge master mix
1	10	5	1	Tranport master mix to Tecan (type 3)
1	11	3	5	Add master mix to samples
1	12	5	1	Transfer samples to centrifuge
1	13	4	1	Centrifuge samples
1	14	5	1	Transfer samples to qRT-PCR inst.
1	15	6	40	Execute qRT-PCR
1	16	5	1	Discard samples
2	1	5	1	Transport reagents to Tecan (type 1)
2	2	5	1	Transport samples to Tecan (type 2)
2	3	1	5	Prepare master mix
2	4	2	15	Process samples
2	5	5	1	Tranport sample plate to Plate centrifuge
2	6	4	1	Centrifuge sample plate
2	7	5	1	Tranport sample plate to Tecan (type 3)
2	8	5	1	Tranport master mix to Plate centrifuge
2	9	4	1	Centrifuge master mix
2	10	5	1	Tranport master mix to Tecan (type 3)
2	11	3	5	Add master mix to samples
2	12	5	1	Transfer samples to centrifuge
2	13	4	1	Centrifuge samples
2	14	5	1	Transfer samples to qRT-PCR inst.
2	15	6	40	Execute qRT-PCR
2	16	5	1	Discard samples
3	1	5	1	Transport reagents to Tecan (type 1)
3	2	5	1	Transport samples to Tecan (type 2)
3	3	1	5	Prepare master mix
3	4	2	15	Process samples
3	5	5	1	Tranport sample plate to Plate centrifuge
3	6	4	1	Centrifuge sample plate
3	7	5	1	Tranport sample plate to Tecan (type 3)
3	8	5	1	Tranport master mix to Plate centrifuge
3	9	4	1	Centrifuge master mix
3	10	5	1	Tranport master mix to Tecan (type 3)
3	11	3	5	Add master mix to samples
3	12	5	1	Transfer samples to centrifuge
3	13	4	1	Centrifuge samples
3	14	5	1	Transfer samples to qRT-PCR inst.
3	15	6	40	Execute qRT-PCR
3	16	5	1	Discard samples
4	1	5	1	Transport reagents to Tecan (type 1)
4	2	5	1	Transport samples to Tecan (type 2)
4	3	1	5	Prepare master mix
4	4	2	15	Process samples
4	5	5	1	Tranport sample plate to Plate centrifuge
4	6	4	1	Centrifuge sample plate
4	7	5	1	Tranport sample plate to Tecan (type 3)
4	8	5	1	Tranport master mix to Plate centrifuge
4	9	4	1	Centrifuge master mix
4	10	5	1	Tranport master mix to Tecan (type 3)
4	11	3	5	Add master mix to samples
4	12	5	1	Transfer samples to centrifuge
4	13	4	1	Centrifuge samples
4	14	5	1	Transfer samples to qRT-PCR inst.
4	15	6	40	Execute qRT-PCR
4	16	5	1	Discard samples
5	1	5	1	Transport reagents to Tecan (type 1)
5	2	5	1	Transport samples to Tecan (type 2)
5	3	1	5	Prepare master mix
5	4	2	15	Process samples
5	5	5	1	Tranport sample plate to Plate centrifuge
5	6	4	1	Centrifuge sample plate
5	7	5	1	Tranport sample plate to Tecan (type 3)
5	8	5	1	Tranport master mix to Plate centrifuge
5	9	4	1	Centrifuge master mix
5	10	5	1	Tranport master mix to Tecan (type 3)
5	11	3	5	Add master mix to samples
5	12	5	1	Transfer samples to centrifuge
5	13	4	1	Centrifuge samples
5	14	5	1	Transfer samples to qRT-PCR inst.
5	15	6	40	Execute qRT-PCR
5	16	5	1	Discard samples
